,zipcode,size,amount_built
1103,11755,large,1.0
1104,11756,small,0.0
1105,11756,medium,0.0
1106,11756,large,2.0
1107,11757,small,0.0
1108,11757,medium,0.0
1109,11757,large,5.0
1110,11758,small,0.0
1111,11758,medium,0.0
1112,11758,large,4.0
1113,11762,small,0.0
1114,11762,medium,0.0
1115,11762,large,4.0
1116,11763,small,0.0
1117,11763,medium,0.0
1118,11763,large,1.0
1119,11764,small,0.0
1120,11764,medium,0.0
1121,11764,large,0.0
1122,11765,small,1.0
1123,11765,medium,0.0
1124,11765,large,0.0
1125,11766,small,0.0
1126,11766,medium,0.0
1127,11766,large,1.0
1128,11767,small,0.0
1129,11767,medium,1.0
1130,11767,large,1.0
1131,11768,small,0.0
1132,11768,medium,0.0
1133,11768,large,0.0
1134,11769,small,0.0
1135,11769,medium,1.0
1136,11769,large,0.0
1137,11771,small,0.0
1138,11771,medium,1.0
1139,11771,large,2.0
1140,11772,small,0.0
1141,11772,medium,0.0
1142,11772,large,4.0
1143,11776,small,0.0
1144,11776,medium,1.0
1145,11776,large,3.0
1146,11777,small,0.0
1147,11777,medium,1.0
1148,11777,large,0.0
1149,11778,small,1.0
1150,11778,medium,0.0
1151,11778,large,2.0
1152,11779,small,0.0
1153,11779,medium,0.0
1154,11779,large,0.0
1155,11780,small,0.0
1156,11780,medium,1.0
1157,11780,large,1.0
1158,11782,small,0.0
1159,11782,medium,0.0
1160,11782,large,2.0
1161,11783,small,0.0
1162,11783,medium,0.0
1163,11783,large,1.0
1164,11784,small,0.0
1165,11784,medium,0.0
1166,11784,large,5.0
1167,11786,small,0.0
1168,11786,medium,1.0
1169,11786,large,0.0
1170,11787,small,0.0
1171,11787,medium,0.0
1172,11787,large,0.0
1173,11788,small,0.0
1174,11788,medium,0.0
1175,11788,large,0.0
1176,11790,small,0.0
1177,11790,medium,0.0
1178,11790,large,1.0
1179,11791,small,0.0
1180,11791,medium,0.0
1181,11791,large,0.0
1182,11792,small,0.0
1183,11792,medium,1.0
1184,11792,large,0.0
1185,11793,small,0.0
1186,11793,medium,0.0
1187,11793,large,2.0
1188,11795,small,0.0
1189,11795,medium,0.0
1190,11795,large,2.0
1191,11796,small,0.0
1192,11796,medium,0.0
1193,11796,large,1.0
1194,11797,small,0.0
1195,11797,medium,0.0
1196,11797,large,0.0
1197,11798,small,0.0
1198,11798,medium,0.0
1199,11798,large,3.0
1200,11801,small,0.0
1201,11801,medium,0.0
1202,11801,large,1.0
1203,11803,small,0.0
1204,11803,medium,0.0
1205,11803,large,0.0
1206,11901,small,0.0
1207,11901,medium,0.0
1208,11901,large,5.0
1209,11933,small,0.0
