,facility_code,step,slot_expanded
721,915847,step2,0.0
722,915847,step3,0.0
723,894061,step1,0.0
724,894061,step2,0.0
725,894061,step3,0.0
726,899891,step1,0.0
727,899891,step2,0.0
728,899891,step3,0.0
729,890633,step1,-0.0
730,890633,step2,0.0
731,890633,step3,0.0
732,892595,step1,-0.0
733,892595,step2,0.0
734,892595,step3,0.0
735,891660,step1,0.0
736,891660,step2,0.0
737,891660,step3,0.0
738,917184,step1,18.0
739,917184,step2,-0.0
740,917184,step3,-0.0
741,765038,step1,0.0
742,765038,step2,0.0
743,765038,step3,0.0
744,679417,step1,13.0
745,679417,step2,0.0
746,679417,step3,0.0
747,407256,step1,-0.0
748,407256,step2,0.0
749,407256,step3,0.0
750,594704,step1,-0.0
751,594704,step2,0.0
752,594704,step3,0.0
753,808817,step1,0.0
754,808817,step2,0.0
755,808817,step3,0.0
756,853367,step1,-0.0
757,853367,step2,0.0
758,853367,step3,0.0
759,397208,step1,-0.0
760,397208,step2,0.0
761,397208,step3,0.0
762,544662,step1,0.0
763,544662,step2,0.0
764,544662,step3,0.0
765,232875,step1,15.0
766,232875,step2,0.0
767,232875,step3,0.0
768,859167,step1,-0.0
769,859167,step2,0.0
770,859167,step3,0.0
771,867683,step1,0.0
772,867683,step2,0.0
773,867683,step3,0.0
774,855186,step1,24.0
775,855186,step2,0.0
776,855186,step3,0.0
777,838037,step1,0.0
778,838037,step2,0.0
779,838037,step3,0.0
780,709901,step1,44.0
781,709901,step2,0.0
782,709901,step3,0.0
783,599414,step1,-0.0
784,599414,step2,0.0
785,599414,step3,0.0
786,617208,step1,-0.0
787,617208,step2,0.0
788,617208,step3,0.0
789,816574,step1,-0.0
790,816574,step2,0.0
791,816574,step3,0.0
792,223515,step1,13.0
793,223515,step2,0.0
794,223515,step3,0.0
795,806271,step1,0.0
796,806271,step2,0.0
797,806271,step3,0.0
798,790360,step1,-0.0
799,790360,step2,0.0
800,790360,step3,0.0
801,782815,step1,0.0
802,782815,step2,0.0
803,782815,step3,0.0
804,709912,step1,17.0
805,709912,step2,0.0
806,709912,step3,0.0
807,332842,step1,-0.0
808,332842,step2,0.0
809,332842,step3,0.0
810,514042,step1,-0.0
811,514042,step2,0.0
812,514042,step3,0.0
813,102905,step1,0.0
814,102905,step2,0.0
815,102905,step3,0.0
816,822562,step1,0.0
817,822562,step2,0.0
818,822562,step3,0.0
819,109496,step1,-0.0
820,109496,step2,0.0
821,109496,step3,0.0
822,158113,step1,0.0
823,158113,step2,0.0
824,158113,step3,0.0
