,facility_code,category,slot_expanded
1102,619312,under5,0.0
1103,619312,over5,0.0
1104,795601,under5,0.0
1105,795601,over5,0.0
1106,880366,under5,0.0
1107,880366,over5,0.0
1108,817027,under5,0.0
1109,817027,over5,0.0
1110,856477,under5,29.0
1111,856477,over5,0.0
1112,881255,under5,0.0
1113,881255,over5,0.0
1114,848990,under5,0.0
1115,848990,over5,0.0
1116,284239,under5,0.0
1117,284239,over5,0.0
1118,473911,under5,0.0
1119,473911,over5,0.0
1120,862375,under5,0.0
1121,862375,over5,0.0
1122,839704,under5,0.0
1123,839704,over5,0.0
1124,352517,under5,0.0
1125,352517,over5,0.0
1126,575478,under5,0.0
1127,575478,over5,0.0
1128,693209,under5,0.0
1129,693209,over5,0.0
1130,681612,under5,0.0
1131,681612,over5,0.0
1132,832979,under5,0.0
1133,832979,over5,0.0
1134,847603,under5,0.0
1135,847603,over5,0.0
1136,870850,under5,0.0
1137,870850,over5,0.0
1138,795503,under5,0.0
1139,795503,over5,0.0
1140,596695,under5,0.0
1141,596695,over5,0.0
1142,855108,under5,0.0
1143,855108,over5,0.0
1144,779050,under5,0.0
1145,779050,over5,0.0
1146,856744,under5,0.0
1147,856744,over5,0.0
